Date : 2025-07-07 11:17:16
Directory : d:\project
Total : 155 files,  19293 codes, 668 comments, 1844 blanks, all 21805 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| frontend\src\pages\TMS                                                         |          7 |      2,778 |        148 |        264 |      3,190 |
| frontend\src\routes                                                            |          6 |         58 |          0 |         10 |         68 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\project\README.md                                                           | Markdown         |        158 |          0 |         39 |        197 |
| d:\project\backend\.dockerignore                                               | Ignore           |         18 |          8 |          8 |         34 |
| d:\project\backend\Dockerfile                                                  | Docker           |         10 |          1 |         10 |         21 |
| d:\project\backend\Notification\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\Notification\admin.py                                       | Python           |          3 |          1 |          2 |          6 |
| d:\project\backend\Notification\apps.py                                        | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\Notification\migrations\0001_initial.py                     | Python           |         18 |          1 |          7 |         26 |
| d:\project\backend\Notification\migrations\0002_initial.py                     | Python           |         21 |          1 |          7 |         29 |
| d:\project\backend\Notification\migrations\__init__.py                         | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\Notification\models.py                                      | Python           |         18 |          1 |          8 |         27 |
| d:\project\backend\Notification\serializer.py                                  | Python           |         10 |          0 |          6 |         16 |
| d:\project\backend\Notification\tests.py                                       | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\Notification\urls.py                                        | Python           |          5 |          0 |          2 |          7 |
| d:\project\backend\Notification\views.py                                       | Python           |         13 |          0 |          2 |         15 |
| d:\project\backend\backend\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\backend\asgi.py                                             | Python           |          4 |          8 |          5 |         17 |
| d:\project\backend\backend\settings.py                                         | Python           |         86 |         27 |         41 |        154 |
| d:\project\backend\backend\urls.py                                             | Python           |         15 |         16 |          3 |         34 |
| d:\project\backend\backend\wsgi.py                                             | Python           |          4 |          8 |          5 |         17 |
| d:\project\backend\contactform\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\contactform\admin.py                                        | Python           |          3 |          1 |          1 |          5 |
| d:\project\backend\contactform\apps.py                                         | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\contactform\migrations\0001_initial.py                      | Python           |         20 |          1 |          7 |         28 |
| d:\project\backend\contactform\migrations\__init__.py                          | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\contactform\models.py                                       | Python           |         10 |          1 |          3 |         14 |
| d:\project\backend\contactform\serializer.py                                   | Python           |          7 |          0 |          1 |          8 |
| d:\project\backend\contactform\urls.py                                         | Python           |          5 |          0 |          1 |          6 |
| d:\project\backend\contactform\views.py                                        | Python           |         12 |          1 |          3 |         16 |
| d:\project\backend\customauth\apps.py                                          | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\customauth\serializer.py                                    | Python           |         34 |          0 |          7 |         41 |
| d:\project\backend\customauth\tests.py                                         | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\customauth\urls.py                                          | Python           |          8 |          0 |          2 |         10 |
| d:\project\backend\customauth\views.py                                         | Python           |         22 |          0 |          6 |         28 |
| d:\project\backend\customuser\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\customuser\admin.py                                         | Python           |         24 |          0 |          7 |         31 |
| d:\project\backend\customuser\apps.py                                          | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\customuser\migrations\0001_initial.py                       | Python           |         30 |          1 |          7 |         38 |
| d:\project\backend\customuser\migrations\0002_alter_customuser_role.py         | Python           |         12 |          1 |          6 |         19 |
| d:\project\backend\customuser\migrations\__init__.py                           | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\customuser\models.py                                        | Python           |         38 |          1 |         11 |         50 |
| d:\project\backend\customuser\serializer.py                                    | Python           |         28 |          0 |          4 |         32 |
| d:\project\backend\customuser\urls.py                                          | Python           |          6 |          0 |          1 |          7 |
| d:\project\backend\customuser\views.py                                         | Python           |         30 |          0 |          5 |         35 |
| d:\project\backend\debug_admin.py                                              | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\lms\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\lms\admin.py                                                | Python           |          7 |          1 |          5 |         13 |
| d:\project\backend\lms\apps.py                                                 | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\lms\migrations\0001_initial.py                              | Python           |         65 |          1 |          7 |         73 |
| d:\project\backend\lms\migrations\0002_alter_class_name_alter_section_name.py  | Python           |         17 |          1 |          6 |         24 |
| d:\project\backend\lms\migrations\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\lms\models.py                                               | Python           |         35 |          1 |         11 |         47 |
| d:\project\backend\lms\serializer.py                                           | Python           |         83 |          1 |         35 |        119 |
| d:\project\backend\lms\urls.py                                                 | Python           |         12 |          0 |          2 |         14 |
| d:\project\backend\lms\views.py                                                | Python           |        135 |          0 |         18 |        153 |
| d:\project\backend\manage.py                                                   | Python           |         15 |          3 |          5 |         23 |
| d:\project\backend\nurse\__init__.py                                           | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\nurse\admin.py                                              | Python           |          4 |          1 |          0 |          5 |
| d:\project\backend\nurse\apps.py                                               | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\nurse\migrations\0001_initial.py                            | Python           |         34 |          1 |          7 |         42 |
| d:\project\backend\nurse\migrations\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\nurse\models.py                                             | Python           |         29 |          1 |         11 |         41 |
| d:\project\backend\nurse\serializer.py                                         | Python           |         38 |          0 |         21 |         59 |
| d:\project\backend\nurse\tests.py                                              | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\nurse\urls.py                                               | Python           |          8 |          0 |          1 |          9 |
| d:\project\backend\nurse\views.py                                              | Python           |         76 |          1 |          8 |         85 |
| d:\project\backend\requirements.txt                                            | pip requirements |         21 |          0 |          0 |         21 |
| d:\project\backend\student\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\student\admin.py                                            | Python           |          5 |          1 |          0 |          6 |
| d:\project\backend\student\apps.py                                             | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\student\migrations\0001_initial.py                          | Python           |         36 |          1 |          7 |         44 |
| d:\project\backend\student\migrations\__init__.py                              | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\student\models.py                                           | Python           |         20 |          1 |          5 |         26 |
| d:\project\backend\student\serializer.py                                       | Python           |         31 |          0 |          6 |         37 |
| d:\project\backend\student\tests.py                                            | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\student\urls.py                                             | Python           |          8 |          0 |          3 |         11 |
| d:\project\backend\student\views.py                                            | Python           |         50 |          1 |         13 |         64 |
| d:\project\backend\tms\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\tms\admin.py                                                | Python           |          5 |          1 |          1 |          7 |
| d:\project\backend\tms\apps.py                                                 | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\tms\migrations\0001_initial.py                              | Python           |         23 |          1 |          7 |         31 |
| d:\project\backend\tms\migrations\0002_assignment_assignmentsubmission.py      | Python           |         37 |          1 |          6 |         44 |
| d:\project\backend\tms\migrations\0003_assignmentsubmission_status_and_more.py | Python           |         17 |          1 |          6 |         24 |
| d:\project\backend\tms\migrations\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\tms\models.py                                               | Python           |         62 |          5 |         18 |         85 |
| d:\project\backend\tms\serializer.py                                           | Python           |        122 |          0 |         23 |        145 |
| d:\project\backend\tms\tests.py                                                | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\tms\urls.py                                                 | Python           |         10 |          0 |          2 |         12 |
| d:\project\backend\tms\views.py                                                | Python           |        120 |          1 |         32 |        153 |
| d:\project\docker\docker-compose.yml                                           | YAML             |         16 |          0 |          2 |         18 |
| d:\project\frontend\.dockerignore                                              | Ignore           |          2 |          0 |          1 |          3 |
| d:\project\frontend\Dockerfile                                                 | Docker           |          7 |          7 |          0 |         14 |
| d:\project\frontend\README.md                                                  | Markdown         |          7 |          0 |          6 |         13 |
| d:\project\frontend\eslint.config.js                                           | JavaScript       |         32 |          0 |          2 |         34 |
| d:\project\frontend\index.html                                                 | Django HTML      |         13 |          0 |          1 |         14 |
| d:\project\frontend\package-lock.json                                          | JSON             |      3,827 |          0 |          1 |      3,828 |
| d:\project\frontend\package.json                                               | JSON             |         37 |          0 |          1 |         38 |
| d:\project\frontend\src\App.jsx                                                | JavaScript JSX   |        239 |          1 |         13 |        253 |
| d:\project\frontend\src\api\api.jsx                                            | JavaScript JSX   |         45 |          0 |         14 |         59 |
| d:\project\frontend\src\api\libriary.jsx                                       | JavaScript JSX   |         83 |          0 |         17 |        100 |
| d:\project\frontend\src\api\nurse.jsx                                          | JavaScript JSX   |         34 |          0 |         13 |         47 |
| d:\project\frontend\src\api\student.jsx                                        | JavaScript JSX   |         30 |          0 |         10 |         40 |
| d:\project\frontend\src\api\teacher.jsx                                        | JavaScript JSX   |         65 |          2 |         23 |         90 |
| d:\project\frontend\src\assets\react.svg                                       | XML              |          1 |          0 |          0 |          1 |
| d:\project\frontend\src\components\SmallComponent\BuyNow.jsx                   | JavaScript JSX   |         11 |          0 |          2 |         13 |
| d:\project\frontend\src\components\SmallComponent\PricingCard.jsx              | JavaScript JSX   |         72 |          3 |          5 |         80 |
| d:\project\frontend\src\components\UI\Footer.jsx                               | JavaScript JSX   |        189 |         10 |         11 |        210 |
| d:\project\frontend\src\components\UI\Hero.jsx                                 | JavaScript JSX   |        151 |         13 |         20 |        184 |
| d:\project\frontend\src\components\UI\Navbar.jsx                               | JavaScript JSX   |        187 |          8 |         14 |        209 |
| d:\project\frontend\src\components\UI\OverView.jsx                             | JavaScript JSX   |        224 |          9 |         17 |        250 |
| d:\project\frontend\src\components\UI\Shared\PhoneNunberFinder.jsx             | JavaScript JSX   |        308 |         16 |         27 |        351 |
| d:\project\frontend\src\components\UI\Shared\PrincipleN.jsx                    | JavaScript JSX   |        480 |         21 |         29 |        530 |
| d:\project\frontend\src\components\UI\Shared\Profile.jsx                       | JavaScript JSX   |        609 |         29 |         35 |        673 |
| d:\project\frontend\src\components\UI\Sidebar\Library.jsx                      | JavaScript JSX   |        350 |         11 |         34 |        395 |
| d:\project\frontend\src\components\UI\Sidebar\Nurse.jsx                        | JavaScript JSX   |        334 |         11 |         32 |        377 |
| d:\project\frontend\src\components\UI\Sidebar\Teacher.jsx                      | JavaScript JSX   |        351 |         11 |         34 |        396 |
| d:\project\frontend\src\context\Auth.jsx                                       | JavaScript JSX   |         71 |          0 |         18 |         89 |
| d:\project\frontend\src\hooks\pageTitle.jsx                                    | JavaScript JSX   |          7 |          0 |          0 |          7 |
| d:\project\frontend\src\index.css                                              | PostCSS          |         12 |          2 |          3 |         17 |
| d:\project\frontend\src\main.jsx                                               | JavaScript JSX   |          9 |          0 |          2 |         11 |
| d:\project\frontend\src\pages\Contact.jsx                                      | JavaScript JSX   |        175 |          2 |         10 |        187 |
| d:\project\frontend\src\pages\Export.jsx                                       | JavaScript JSX   |         30 |          0 |          0 |         30 |
| d:\project\frontend\src\pages\Home.jsx                                         | JavaScript JSX   |         13 |          0 |          4 |         17 |
| d:\project\frontend\src\pages\LMS\LABook.jsx                                   | JavaScript JSX   |        306 |         14 |         43 |        363 |
| d:\project\frontend\src\pages\LMS\LBookHistory.jsx                             | JavaScript JSX   |        666 |         29 |         61 |        756 |
| d:\project\frontend\src\pages\LMS\LDashboard.jsx                               | JavaScript JSX   |        427 |         15 |         33 |        475 |
| d:\project\frontend\src\pages\LMS\LIBook.jsx                                   | JavaScript JSX   |        593 |         28 |         48 |        669 |
| d:\project\frontend\src\pages\LMS\LIR.jsx                                      | JavaScript JSX   |        658 |         14 |         44 |        716 |
| d:\project\frontend\src\pages\LMS\LMClass.jsx                                  | JavaScript JSX   |        592 |         30 |         48 |        670 |
| d:\project\frontend\src\pages\LMS\LRBook.jsx                                   | JavaScript JSX   |        418 |          9 |         46 |        473 |
| d:\project\frontend\src\pages\LMS\Layout.jsx                                   | JavaScript JSX   |         11 |          0 |          2 |         13 |
| d:\project\frontend\src\pages\Layout.jsx                                       | JavaScript JSX   |         13 |          0 |          2 |         15 |
| d:\project\frontend\src\pages\Login.jsx                                        | JavaScript JSX   |        179 |          7 |         21 |        207 |
| d:\project\frontend\src\pages\NMS\AddProduct.jsx                               | JavaScript JSX   |        228 |         10 |         25 |        263 |
| d:\project\frontend\src\pages\NMS\NAddRecord.jsx                               | JavaScript JSX   |        518 |         30 |         52 |        600 |
| d:\project\frontend\src\pages\NMS\NAllRecord.jsx                               | JavaScript JSX   |        508 |         21 |         44 |        573 |
| d:\project\frontend\src\pages\NMS\NDash.jsx                                    | JavaScript JSX   |        562 |         21 |         53 |        636 |
| d:\project\frontend\src\pages\NMS\NLayout.jsx                                  | JavaScript JSX   |         11 |          0 |          3 |         14 |
| d:\project\frontend\src\pages\NMS\TotalProduct.jsx                             | JavaScript JSX   |        586 |         22 |         51 |        659 |
| d:\project\frontend\src\pages\Pricing.jsx                                      | JavaScript JSX   |        130 |          0 |          7 |        137 |
| d:\project\frontend\src\pages\TMS\AStudent.jsx                                 | JavaScript JSX   |          7 |          0 |          2 |          9 |
| d:\project\frontend\src\pages\TMS\ASubmission.jsx                              | JavaScript JSX   |        470 |         34 |         43 |        547 |
| d:\project\frontend\src\pages\TMS\Assignments.jsx                              | JavaScript JSX   |        859 |         35 |         66 |        960 |
| d:\project\frontend\src\pages\TMS\Attandance.jsx                               | JavaScript JSX   |        561 |         31 |         63 |        655 |
| d:\project\frontend\src\pages\TMS\AttandanceHistory.jsx                        | JavaScript JSX   |        415 |         22 |         41 |        478 |
| d:\project\frontend\src\pages\TMS\AttandanceStudent.jsx                        | JavaScript JSX   |        455 |         26 |         46 |        527 |
| d:\project\frontend\src\pages\TMS\TLayout.jsx                                  | JavaScript JSX   |         11 |          0 |          3 |         14 |
| d:\project\frontend\src\routes\AuthRoute.jsx                                   | JavaScript JSX   |         10 |          0 |          1 |         11 |
| d:\project\frontend\src\routes\ExportRoute.jsx                                 | JavaScript JSX   |          6 |          0 |          0 |          6 |
| d:\project\frontend\src\routes\LibrianRoute.jsx                                | JavaScript JSX   |         10 |          0 |          3 |         13 |
| d:\project\frontend\src\routes\NurseRoute.jsx                                  | JavaScript JSX   |         10 |          0 |          1 |         11 |
| d:\project\frontend\src\routes\PublicRoute.jsx                                 | JavaScript JSX   |         11 |          0 |          2 |         13 |
| d:\project\frontend\src\routes\TeacherRoute.jsx                                | JavaScript JSX   |         11 |          0 |          3 |         14 |
| d:\project\frontend\tailwind.config.js                                         | JavaScript       |         10 |          1 |          1 |         12 |
| d:\project\frontend\vite.config.js                                             | JavaScript       |         18 |          3 |          3 |         24 |
| d:\project\test.md                                                             | Markdown         |        168 |          0 |         49 |        217 |
| Total                                                                          |                  |     19,293 |        668 |      1,844 |     21,805 |
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
